id;sc_id;name;description;type_of_strategy;underlying_id;underling_type;s_position_type;status;atm_type;expiry;strategy_tag;admin_id;expiry_type;category;min_capital;user_id;multiplier;stop_loss;target;execution_type;re_signal_count;created_by;created_at;updated_by;updated_at;delete_indicator;draw_down;strategy_source_id
1;4;Buy OTM Call;Focuses on bullish trade execution in high volatility;diy;1;NA;Intraday;active;SpotAtm;CurrentWeek;diy;1;CurrentWeek;popular;600000000;1;1;400;700;LiveTrading;1;QuantLab;2024-06-25T10:00:00Z;QuantLab;2024-07-10T12:00:00Z;N;10;0
2;4;Buy OTM Put;Focuses on bearish trade execution in high volatility;diy;1;NA;Intraday;standby;FutureAtm;CurrentWeek;diy;1;NextWeek;popular;600000000;1;1;600;900;LiveTrading;1;QuantLab;2024-06-18T11:20:00Z;QuantLab;2024-07-01T13:40:00Z;N;10;0
3;3;Protective Put;Refers to buying futures and puts for protection;diy;1;NA;Intraday;inactive;SyntheticAtm;CurrentMonth;diy;1;CurrentWeek;prebuilt;600000000;1;1;1000;1300;LiveTrading;1;QuantLab;2024-06-12T14:50:00Z;QuantLab;2024-06-20T16:30:00Z;N;10;0
4;4;Call Backspread;A strategy designed to capitalize on bullish moves with minimal risk;diy;1;NA;Intraday;active;SpotAtm;CurrentWeek;diy;1;NextWeek;popular;600000000;1;1;500;800;LiveTrading;1;QuantLab;2024-06-26T10:30:00Z;QuantLab;2024-07-12T13:00:00Z;N;10;0
5;4;Put Backspread;A strategy designed to benefit from bearish moves with limited risk;diy;1;NA;Intraday;standby;FutureAtm;CurrentWeek;diy;1;NextWeek;popular;600000000;1;1;600;900;LiveTrading;1;QuantLab;2024-06-28T11:00:00Z;QuantLab;2024-07-14T14:30:00Z;N;10;0
6;3;Bull Call spread;A strategy used to capitalize on moderate bullish price movement with limited risk;diy;1;NA;Intraday;active;SpotAtm;CurrentWeek;diy;1;CurrentWeek;prebuilt;600000000;1;1;450;750;LiveTrading;1;QuantLab;2024-07-01T09:00:00Z;QuantLab;2024-07-08T12:00:00Z;N;10;0
7;4;Protective Call;A strategy designed to protect against downside risk while allowing for upside profit potential;diy;1;NA;Intraday;standby;FutureAtm;CurrentWeek;diy;1;NextMonth;popular;600000000;1;1;550;950;LiveTrading;1;QuantLab;2024-07-02T10:00:00Z;QuantLab;2024-07-09T11:30:00Z;N;10;0
8;4;Bear Put Spread;A strategy used to capitalize on bearish price movement with limited risk;diy;1;NA;Intraday;active;SyntheticAtm;CurrentMonth;diy;1;CurrentMonth;popular;600000000;1;1;600;1000;LiveTrading;1;QuantLab;2024-07-03T10:30:00Z;QuantLab;2024-07-10T12:00:00Z;N;10;0
9;3;Covered Put;A strategy used to sell a put option while holding an equivalent amount of the underlying asset as protection;diy;1;NA;Intraday;standby;FutureAtm;CurrentWeek;diy;1;NextMonth;prebuilt;600000000;1;1;650;1100;LiveTrading;1;QuantLab;2024-07-04T11:00:00Z;QuantLab;2024-07-11T13:30:00Z;N;10;0
10;4;Covered Call;"A strategy where a call option is sold while holding the underlying asset; providing income in exchange for potential upside loss";diy;1;NA;Intraday;active;SpotAtm;CurrentWeek;diy;1;CurrentWeek;popular;600000000;1;1;700;1200;LiveTrading;1;QuantLab;2024-07-05T09:30:00Z;QuantLab;2024-07-12T10:00:00Z;N;10;0
11;4;Short Strangle;A strategy involving selling both a call and a put option on the same underlying asset with different strike prices;diy;1;NA;Intraday;active;SyntheticAtm;CurrentWeek;diy;1;NextWeek;popular;600000000;1;1;750;1300;LiveTrading;1;QuantLab;2024-07-08T10:00:00Z;QuantLab;2024-07-15T11:30:00Z;N;10;0
12;4;Short Straddle;A strategy involving selling both a call and a put option at the same strike price to profit from low volatility;diy;1;NA;Intraday;standby;SpotAtm;CurrentWeek;diy;1;NextMonth;popular;600000000;1;1;800;1400;LiveTrading;1;QuantLab;2024-07-09T11:00:00Z;QuantLab;2024-07-16T12:30:00Z;N;10;0
13;3;Long Straddle;A strategy involving buying both a call and a put option at the same strike price to profit from significant price movement;diy;1;NA;Intraday;active;SyntheticAtm;CurrentWeek;diy;1;CurrentWeek;prebuilt;600000000;1;1;850;1500;LiveTrading;1;QuantLab;2024-07-10T12:00:00Z;QuantLab;2024-07-17T13:00:00Z;N;10;0
14;4;Long Strangle;A strategy involving buying both a call and a put option with different strike prices to profit from large price movements;diy;1;NA;Intraday;standby;SpotAtm;CurrentWeek;diy;1;NextWeek;popular;600000000;1;1;900;1600;LiveTrading;1;QuantLab;2024-07-11T13:00:00Z;QuantLab;2024-07-18T14:30:00Z;N;10;0
15;4;Long Call Ladder;"A strategy where a long call is purchased; a call option is sold; and a third call option is bought at a higher strike price for risk management";diy;1;NA;Intraday;active;SyntheticAtm;CurrentWeek;diy;1;NextWeek;popular;600000000;1;1;950;1700;LiveTrading;1;QuantLab;2024-07-12T14:00:00Z;QuantLab;2024-07-19T15:30:00Z;N;10;0
16;3;Long Put Ladder;"A strategy where a long put is purchased; a put option is sold; and a third put option is bought at a lower strike price for managing risk";diy;1;NA;Intraday;standby;SyntheticAtm;CurrentWeek;diy;1;NextMonth;prebuilt;600000000;1;1;1000;1800;LiveTrading;1;QuantLab;2024-07-15T15:30:00Z;QuantLab;2024-07-22T16:00:00Z;N;10;0
17;4;Iron Butterfly;"A strategy involving buying a lower strike put; selling a middle strike put; and selling a middle strike call; while buying a higher strike call to profit from low volatility";diy;1;NA;Intraday;active;SpotAtm;CurrentWeek;diy;1;CurrentWeek;popular;600000000;1;1;1050;1900;LiveTrading;1;QuantLab;2024-07-16T16:00:00Z;QuantLab;2024-07-23T17:30:00Z;N;10;0
18;4;Call Ratio Spread;A strategy that involves buying one call option and selling two call options at a higher strike price to profit from limited upward movement;diy;1;NA;Intraday;standby;FutureAtm;CurrentWeek;diy;1;NextWeek;popular;600000000;1;1;1100;2000;LiveTrading;1;QuantLab;2024-07-17T17:00:00Z;QuantLab;2024-07-24T18:00:00Z;N;10;0
19;4;Put Ratio Spread ;A strategy that involves buying one put option and selling two put options at a lower strike price to profit from moderate bearish movement;diy;1;NA;Intraday;active;SpotAtm;CurrentWeek;diy;1;NextMonth;popular;600000000;1;1;1150;2100;LiveTrading;1;QuantLab;2024-07-18T18:00:00Z;QuantLab;2024-07-25T19:30:00Z;N;10;0
20;3;Strap;A strategy involving buying one call and two put options at the same strike price to profit from significant downward movement;diy;1;NA;Intraday;standby;SyntheticAtm;CurrentWeek;diy;1;NextWeek;prebuilt;600000000;1;1;1200;2200;LiveTrading;1;QuantLab;2024-07-19T19:00:00Z;QuantLab;2024-07-26T20:00:00Z;N;10;0
21;4;Strip;A strategy involving buying one call and two put options to profit from significant price movement in either direction;diy;1;NA;Intraday;active;SpotAtm;CurrentWeek;diy;1;CurrentWeek;popular;600000000;1;1;1250;2300;LiveTrading;1;QuantLab;2024-07-22T20:00:00Z;QuantLab;2024-07-29T21:30:00Z;N;10;0
22;2;NF-Dynamic Volatility Manager;A strategy that balances option and asset delta to minimize directional risk and profiting from volatility or time decay;diy;1;NA;Intraday;active;SpotAtm;CurrentWeek;DN;1;CurrentWeek;inhouse;600000000;1;1;1000;2300;LiveTrading;16;QuantLab;2024-07-22T20:00:00Z;QuantLab;2024-07-29T21:30:00Z;N;10;0
23;2;NF-Dynamic Volatility Manager Hedge;A strategy that minimizes directional risk by balancing portfolio delta using long and short options;diy;1;NA;Intraday;active;SpotAtm;CurrentWeek;DNH;1;CurrentWeek;inhouse;600000000;1;1;1000;2300;LiveTrading;16;QuantLab;2024-07-22T20:00:00Z;QuantLab;2024-07-29T21:30:00Z;N;10;0
24;2;BN-Dynamic Volatility Manager;A strategy that balances option and asset delta to minimize directional risk and profiting from volatility or time decay;diy;2;NA;Intraday;active;SpotAtm;CurrentWeek;DN;1;CurrentWeek;inhouse;600000000;1;1;1000;2300;LiveTrading;16;QuantLab;2024-07-22T20:00:00Z;QuantLab;2024-07-29T21:30:00Z;N;10;0
25;2;BN-Dynamic Volatility Manager Hedge;A strategy that minimizes directional risk by balancing portfolio delta using long and short options;diy;2;NA;Intraday;active;SpotAtm;CurrentWeek;DNH;1;CurrentWeek;inhouse;600000000;1;1;1000;2300;LiveTrading;16;QuantLab;2024-07-22T20:00:00Z;QuantLab;2024-07-29T21:30:00Z;N;10;0
